headword,CEFR,example_en,translation_ar,example_ar
must,A1,You must wear shoes.,يجب,يجب عليك ارتداء الأحذية.
under,A1,The cat is under the bed.,تحت,القطة تحت السرير.
take,A1,Take an umbrella.,يأخذ,خذ مظلة.
like,A1,I like music.,يحب,أنا أحب الموسيقى.
even,A1,She can't even walk.,حتى,إنها لا تستطيع حتى المشي.
through,A1,Walk through the gate.,خلال,المشي من خلال البوابة.
leave,A1,They leave now.,يترك,يغادرون الآن.
talk,A1,Let's talk later.,يتحدث,دعونا نتحدث لاحقا.
live,A1,We live by the sea.,يعيش,نحن نعيش بجانب البحر.
room,A1,He cleans his room.,غرفة,ينظف غرفته.
write,A1,Write your name.,يكتب,اكتب اسمك.
money,A1,She has no money.,مال,ليس لديها مال.
story,A1,He tells a story.,قصة,يروي قصة.
young,A1,The young boy runs.,شاب,الصبي الصغير يركض.
month,A1,She will come next month.,شهر,وقالت انها سوف تأتي الشهر المقبل.
different,A1,We have different shoes.,مختلف,لدينا أحذية مختلفة.
lot,A1,He has a lot of books.,كثير,لديه الكثير من الكتب.
book,A1,Open the book.,كتاب,افتح الكتاب.
job,A1,He got a job.,وظيفة,حصل على وظيفة.
business,A1,She owns a business.,عمل,إنها تمتلك عملاً تجاريًا.
side,A1,Stand by my side.,جانب,قف بجانبي.
four,A1,There are four chairs.,أربعة,هناك أربعة كراسي.
head,A1,Nod your head.,رأس,أومئ برأسك.
black,A1,She wears black shoes.,أسود,إنها ترتدي حذاء أسود.
long,A1,They took a long walk.,طويل,لقد قطعوا مسافة طويلة.
both,A1,Both are correct.,كلاهما,كلاهما صحيح.
little,A1,There is little milk.,قليل,هناك القليل من الحليب.
house,A1,We live in a house.,منزل,نحن نعيش في منزل.
yes,A1,Yes, I agree.,نعم,نعم، أنا أوافق.
friend,A1,My friend is here.,صديق,صديقي هنا.
important,A1,It is important.,مهم,هذا مهم.
father,A1,Her father works.,أب,والدها يعمل.
sit,A1,Please sit here.,يجلس,من فضلك اجلس هنا.
away,A1,He went away.,بعيد,ذهب بعيدا.
hour,A1,It took one hour.,ساعة,استغرق الأمر ساعة واحدة.
game,A1,They play a game.,لعبة,إنهم يلعبون لعبة.
often,A1,We often walk.,غالباً,كثيرا ما نسير.
yet,A1,He is not here yet.,حتى الآن,وهو ليس هنا بعد.
line,A1,Draw a line.,خط,ارسم خطًا.
end,A1,This is the end.,نهاية,هذه هي النهاية.
bad,A1,That was bad.,سيء,كان ذلك سيئا.
pay,A1,You must pay the bill.,يدفع,يجب عليك دفع الفاتورة.
meet,A1,Let’s meet at noon.,يقابل,دعونا نلتقي عند الظهر.
car,A1,He washed his car.,سيارة,لقد غسل سيارته.
city,A1,They live in the city.,مدينة,إنهم يعيشون في المدينة.
almost,A1,He almost missed the bus.,تقريبًا - بالكاد,لقد فاتته الحافلة تقريبًا.
name,A1,What is your name?,اسم,ما اسمك؟
five,A1,There are five chairs.,خمسة,هناك خمسة كراسي.
once,A1,I saw Paris once.,مرة واحدة,رأيت باريس مرة واحدة.
white,A1,She wore a white dress.,أبيض,كانت ترتدي فستانا أبيض.
learn,A1,I want to learn English.,يتعلم,أريد أن أتعلم اللغة الإنجليزية.
real,A1,This is a real story.,حقيقي,هذه قصة حقيقية.
change,A1,Change your shirt.,يتغير - يغيّر,قم بتغيير قميصك.
team,A1,We work as a team.,فريق,نحن نعمل كفريق.
minute,A1,Wait one minute.,دقيقة,انتظر دقيقة واحدة.
best,A1,She did her best.,أفضل,لقد بذلت قصارى جهدها.
idea,A1,That is a good idea.,فكرة,هذه فكرة جيدة.
kid,A1,The kid is playing.,طفل,الطفل يلعب.
body,A1,He hurt his body.,جسم,لقد أذى جسده.
information,A1,I need train information.,معلومة,أحتاج إلى معلومات القطار.
nothing,A1,There is nothing here.,لا شئ,لا يوجد شيء هنا.
ago,A1,I moved here two years ago.,منذ,انتقلت إلى هنا منذ عامين.
social,A1,She likes social events.,اجتماعي,- تحب المناسبات الاجتماعية.
watch,A1,He likes to watch TV.,يشاهد,يحب مشاهدة التلفاز.
together,A1,We study together.,معاً,نحن ندرس معا.
parent,A1,Her parent is here.,أحد الوالدين,والدها هنا.
stop,A1,Stop the car.,قف,أوقف السيارة.
anything,A1,Is there anything else?,أي شئ,هل هناك أي شيء آخر؟
already,A1,They have already left.,بالفعل,لقد غادروا بالفعل.
speak,A1,Please speak slowly.,يتكلم,من فضلك تحدث ببطء.
read,A1,I read a book.,يقرأ,قرأت كتابا.
add,A1,Add your name here.,يضيف,أضف اسمك هنا.
office,A1,She works in an office.,مكتب,تعمل في مكتب.
spend,A1,She spent all her money.,ينفق,لقد أنفقت كل أموالها.
door,A1,He opened the door.,باب,فتح الباب.
health,A1,Health is important.,صحة,الصحة مهمة.
person,A1,He is a kind person.,شخص,إنه شخص لطيف.
art,A1,She likes art.,فن,إنها تحب الفن.
sure,A1,Are you sure?,بالتأكيد,هل أنت متأكد؟
war,A1,They study the war.,حرب,يدرسون الحرب.
history,A1,I enjoy history.,تاريخ,أنا أستمتع بالتاريخ.
party,A1,We had a party.,حفلة,كان لدينا حفلة.
grow,A1,Children grow fast.,ينمو,ينمو الأطفال بسرعة.
result,A1,The result is good.,نتيجة,والنتيجة جيدة.
open,A1,Open the window.,يفتح,افتح النافذة.
morning,A1,She runs every morning.,صباح,إنها تجري كل صباح.
walk,A1,They walk to school.,يمشي,يمشون إلى المدرسة.
reason,A1,Give me a reason.,سبب,أعطني سببا.
guy,A1,That guy is tall.,رجل,هذا الرجل طويل القامة.
food,A1,We cook food.,طعام,نحن نطبخ الطعام.
moment,A1,Wait a moment.,لحظة,انتظر لحظة.
teacher,A1,The teacher is kind.,مدرس,المعلم لطيف.
remember,A1,Remember to lock the door.,يتذكر,تذكر أن تقفل الباب.
second,A1,She came in second place.,ثانية,جاءت في المركز الثاني.
boy,A1,The boy is happy.,ولد,الصبي سعيد.
maybe,A1,Maybe we’ll go there.,ربما,ربما سنذهب إلى هناك.
age,A1,What is your age?,عمر,ما هو عمرك؟
everything,A1,Everything is ready.,كل شئ,كل شيء جاهز.
love,A1,I love music.,حب,أنا أحب الموسيقى.
music,A1,He listens to music.,موسيقى,يستمع إلى الموسيقى.
buy,A1,I will buy milk.,يشتري,سأشتري الحليب.
build,A1,They build a house.,يبني,يبنون منزلا.
plan,A1,We need a plan.,يخطط,نحن بحاجة إلى خطة.
college,A1,He goes to college.,كلية,يذهب إلى الكلية.
course,A1,She takes a cooking course.,دورة,إنها تأخذ دورة في الطبخ.
someone,A1,Someone is at the door.,شخص ما,شخص ما عند الباب.
behind,A1,The car is behind the house.,خلف,السيارة خلف المنزل.
kill,A1,The man killed a snake.,قتل,قتل الرجل ثعبانا.
six,A1,She bought six apples.,ستة,اشترت ستة تفاحات.
class,A1,The class starts now.,فصل,يبدأ الفصل الآن.
care,A1,Take care of your pet.,رعاية,اعتني بحيوانك الأليف.
late,A1,She was late today.,متأخر,لقد تأخرت اليوم.
hard,A1,This test is hard.,صعب,هذا الاختبار صعب.
field,A1,They play in the field.,مجال,يلعبون في الميدان.
else,A1,What else do you need?,آخر,ماذا تحتاج؟
sell,A1,They sell fresh fruit.,يبيع,يبيعون الفاكهة الطازجة.
along,A1,We walked along the beach.,على امتداد,مشينا على طول الشاطئ.
role,A1,She plays the role of a student.,دور,إنها تلعب دور الطالبة.
better,A1,You will feel better soon.,أحسن,سوف تشعر بالتحسن قريبا.
strong,A1,He is very strong.,قوي,إنه قوي جدًا.
heart,A1,Her heart beat fast.,قلب,قلبها ينبض بسرعة.
leader,A1,She is the team leader.,قائد,هي قائدة الفريق.
light,A1,Turn on the light.,ضوء,قم بتشغيل الضوء.
wife,A1,His wife is a doctor.,زوجة,زوجته طبيبة.
free,A1,The tickets are free.,حر,التذاكر مجانية.
price,A1,What is the price?,سعر,ما هو السعر؟
son,A1,Her son starts school.,ابن,يبدأ ابنها المدرسة.
hope,A1,I hope you are well.,يأمل,أتمنى أن تكون جيد.
carry,A1,Carry the bag to the car.,يحمل,حمل الحقيبة إلى السيارة.
town,A1,He grew up in a small town.,بلدة,نشأ في بلدة صغيرة.
drive,A1,She will drive there.,يقود,سوف تقود هناك.
arm,A1,He raised his arm.,ذراع,رفع ذراعه.
TRUE,A1,Is it true?,حقيقي,هل هذا صحيح؟
difference,A1,Show me the difference.,اختلاف,أرني الفرق.
thank,A1,Thank you for your help.,شكر,شكرا لك على مساعدتك.
in,A1,Put it in the box.,في,ضعه في الصندوق.
IT,A1,He works in IT.,تكنولوجيا المعلومات,يعمل في مجال تكنولوجيا المعلومات.
for,A1,This gift is for you.,ل,هذه الهدية لك.
all,A1,All children must come.,الجميع,يجب أن يأتي جميع الأطفال.
back,A1,Write on the back.,خلف,اكتب على الظهر.
after,A1,After dinner we talk.,بعد,بعد العشاء نتحدث.
over,A1,They walked over the bridge.,زيادة / فوق,مشوا فوق الجسر.
still,A1,The baby is still.,ساكن / هادئ,.الطفل ساكن
last,A1,She ate the last piece.,آخر,أكلت القطعة الأخيرة.
feel,A1,I feel happy.,يشعر,أشعر بالسعادة.
state,A1,Please state your name.,يصرّح / يذكر,يرجى ذكر اسمك.
while,A1,Read while I talk.,بينما,اقرأ بينما أتحدث.
seem,A1,It seems cold today.,يبدو,يبدو الجو باردا اليوم.
country,A1,He lives in this country.,دولة,يعيش في هذا البلد.
might,A1,She might come later.,قد,أنها قد تأتي في وقت لاحق.
show,A1,They show the film tonight.,يعرض,يعرضون الفيلم الليلة.
part,A1,Read the first part.,جزء,إقرأ الجزء الأول.
against,A1,He leans against the wall.,ضد,يتكئ على الحائط.
such,A1,She faced such a problem.,مثل هذه,لقد واجهت مثل هذه المشكلة.
few,A1,Only a few people came.,عدد قليل,جاء عدد قليل فقط من الناس.
company,A1,I enjoy your company.,شركة,أنا أستمتع بصحبتك.
system,A1,The system is broken.,نظام,النظام مكسور.
during,A1,Sit inside during the rain.,خلال,الجلوس في الداخل أثناء المطر.
hold,A1,Hold my hand.,يمسك,امسك يدي.
next,A1,You are next in line.,التالي,أنت التالي في الصف.
without,A1,She left without me.,بدون,لقد غادرت بدوني.
million,A1,They gave one million dollars.,مليون,أعطوا مليون دولار.
area,A1,This area is quiet.,منطقة,هذه المنطقة هادئة.
national,A1,She works for the national museum.,وطني,تعمل في المتحف الوطني.
fact,A1,It is a fact.,حقيقة,إنها حقيقة.
study,A1,I study math.,يذاكر,أنا أدرس الرياضيات.
that,A1,He said that he is tired.,الذي - التي,وقال إنه متعب.
say,A1,Please say hello.,يقول,من فضلك قل مرحبا.
want,A1,I want chocolate.,يريد,أريد الشوكولاته.
down,A1,Sit down now.,تحت,اجلس الآن.
though,A1,He came though he was tired.,رغم ذلك,لقد جاء رغم أنه كان متعبا.
building,A1,The building is tall.,مبنى,المبنى طويل القامة.
action,A1,Take action now.,فعل,اتخذ إجراءً الآن.
full,A1,The cup is full.,ممتلىء,الكأس ممتلئ.
join,A1,Join us now.,ينضم,انضم إلينا الآن.
player,A1,He is a good player.,لاعب,إنه لاعب جيد.
agree,A1,Do you agree?,يوافق,هل توافق؟
wear,A1,Wear your coat.,يرتدي,ارتدي معطفك.
paper,A1,Write on the paper.,ورق,اكتب على الورقة.
special,A1,Today is special.,خاص,اليوم خاص.
ground,A1,The ball is on the ground.,أرضي,الكرة على الأرض.
form,A1,Fill out the form.,استمارة,املأ النموذج.
event,A1,The event is fun.,حدث,الحدث ممتع.
whose,A1,Whose pen is this?,لمن,من هذا القلم؟
everyone,A1,Everyone is here.,الجميع,الجميع هنا.
site,A1,They visit the site.,موقع,يقومون بزيارة الموقع.
activity,A1,Outdoor activity is fun.,نشاط,النشاط في الهواء الطلق ممتع.
star,A1,Look at the star.,نجم,انظر إلى النجم.
table,A1,The book is on the table.,طاولة,الكتاب على الطاولة.
eat,A1,I like to eat pizza.,يأكل,أحب أكل البيتزا.
teach,A1,They teach English.,يعلم,يعلمون اللغة الإنجليزية.
easy,A1,This is easy.,سهل,هذا سهل.
street,A1,They live on a quiet street.,شارع,إنهم يعيشون في شارع هادئ.
phone,A1,She answers the phone.,هاتف,هي تجيب على الهاتف.
either,A1,Choose either one.,أحد الخيارين,اختر أي منهما.
cover,A1,Cover the bowl.,غطاء,قم بتغطية الوعاء.
picture,A1,Draw a picture.,صورة,ارسم صورة.
practice,A1,She goes to practice.,يمارس,تذهب للتدرب.
piece,A1,Can I have a piece?,قطعة,هل يمكنني الحصول على قطعة؟
describe,A1,Describe your day.,يصف,صف يومك.
wall,A1,He painted the wall.,حائط,لقد رسم الجدار.
worker,A1,The worker is tired.,عامل,العامل متعب.
news,A1,She watches the news.,أخبار,إنها تشاهد الأخبار.
test,A1,She passed the test.,امتحان,لقد اجتازت الاختبار.
movie,A1,They watch a movie.,فيلم,يشاهدون فيلما.
personal,A1,This is personal.,شخصي,هذا أمر شخصي.
technology,A1,They use new technology.,تكنولوجيا,يستخدمون التكنولوجيا الجديدة.
catch,A1,Can you catch the ball?,يمسك,هل يمكنك التقاط الكرة؟
baby,A1,The baby smiles.,طفل,الطفل يبتسم.
computer,A1,She bought a computer.,حاسوب,اشترت جهاز كمبيوتر.
type,A1,What type is this?,نوع,ما هو نوع هذا؟
tree,A1,They planted a tree.,شجرة,زرعوا شجرة.
red,A1,The apple is red.,أحمر,التفاحة حمراء.
choose,A1,Please choose a seat.,يختار,الرجاء اختيار مقعد.
hair,A1,Her hair is long.,شعر,شعرها طويل.
window,A1,Open the window.,نافذة,افتح النافذة.
difficult,A1,This is difficult.,صعب,هذا صعب.
listen,A1,Listen to the teacher.,يستمع,استمع للمعلم.
soon,A1,They will arrive soon.,قريباً,سوف يصلون قريبا.
culture,A1,They study culture.,ثقافة,يدرسون الثقافة.
brother,A1,My brother is tall.,أخ,أخي طويل القامة.
period,A1,Class has two periods.,فترة,الطبقة لها فترتين.
summer,A1,They love summer.,صيف,إنهم يحبون الصيف.
short,A1,That is short.,قصير,هذا قصير.
letter,A1,She sent a letter.,خطاب,لقد أرسلت رسالة.
rule,A1,Follow the rule.,قاعدة,اتبع القاعدة.
daughter,A1,His daughter plays piano.,بنت,ابنته تعزف على البيانو.
husband,A1,Her husband is kind.,زوج,زوجها طيب.
floor,A1,Clean the floor.,أرضية,نظف الأرضية.
hospital,A1,He went to the hospital.,مستشفى,ذهب إلى المستشفى.
church,A1,They go to church.,كنيسة,يذهبون إلى الكنيسة.
close,A1,Close the door.,يغلق,أغلق الباب.
fire,A1,The fire is warm.,نار,النار دافئة.
anyone,A1,Is anyone there?,أي شخص,هل هناك أحد؟
bank,A1,He went to the bank.,بنك,ذهب إلى البنك.
sport,A1,He plays sport.,رياضة,يلعب الرياضة.
board,A1,Board the bus here.,سبورة,استقل الحافلة هنا.
subject,A1,The subject is math.,موضوع,الموضوع هو الرياضيات.
officer,A1,The officer helps us.,ضابط,الضابط يساعدنا.
fight,A1,They fight sometimes.,يعارك,يتشاجرون في بعض الأحيان.
top,A1,He reached the top of the hill.,قمة,ووصل إلى قمة التل.
quickly,A1,He ran quickly to school.,بسرعة,وركض بسرعة إلى المدرسة.
bed,A1,I read in bed every night.,سرير,قرأت في السرير كل ليلة.
order,A1,They made an order at the shop.,طلب,لقد أصدروا طلبًا في المتجر.
fill,A1,Fill the cup with water.,يملأ,املأ الكوب بالماء.
foreign,A1,She speaks a foreign language.,أجنبي,إنها تتحدث لغة أجنبية.
store,A1,He went to the store.,محل,ذهب إلى المتجر.
note,A1,Please note the time.,ملحوظة,يرجى ملاحظة الوقت.
fine,A1,The weather is fine today.,بخير,الطقس جيد اليوم.
near,A1,The park is near my house.,قريب,الحديقة قريبة من منزلي.
page,A1,Turn the page, please.,صفحة,اقلب الصفحة من فضلك.
poor,A1,They live in a poor area.,فقير,إنهم يعيشون في منطقة فقيرة.
hot,A1,The soup is hot.,حار,الحساء ساخن.
language,A1,She studies a new language.,لغة,إنها تدرس لغة جديدة.
usually,A1,I usually eat breakfast early.,عادة,عادة ما أتناول وجبة الإفطار في وقت مبكر.
animal,A1,The zoo has many animals.,حيوان,حديقة الحيوان لديها العديد من الحيوانات.
article,A1,She reads an article online.,شرط,إنها تقرأ مقالاً على الإنترنت.
save,A1,Save your work often.,يحفظ,احفظ عملك كثيرًا.
seven,A1,There are seven days in a week.,سبعة,هناك سبعة أيام في الأسبوع.
eight,A1,There are eight slices.,ثمانية,هناك ثماني شرائح.
happy,A1,He feels happy today.,سعيد,إنه يشعر بالسعادة اليوم.
size,A1,What size is your shirt?,مقاس,ما هو حجم قميصك؟
dog,A1,The dog barks loudly.,كلب,الكلب ينبح بصوت عال.
ready,A1,We are ready now.,مستعد,نحن جاهزون الآن.
sign,A1,Sign your name here.,لافتة,وقع اسمك هنا.
list,A1,Make a list of tasks.,قائمة,قم بعمل قائمة بالمهام.
answer,A1,Answer the question.,إجابة,أجب عن السؤال.
left,A1,Turn left here.,غادر,انعطف يسارًا هنا.
meeting,A1,We have a meeting at three.,مقابلة,لدينا اجتماع في الثالثة.
cup,A1,She drank from the cup.,كوب,شربت من الكأس.
character,A1,The main character is kind.,شخصية,الشخصية الرئيسية لطيفة.
television,A1,They watch television at night.,تلفزيون,يشاهدون التلفاز ليلاً.
box,A1,Put the toys in the box.,صندوق,ضع الألعاب في الصندوق.
TV,A1,He watches TV every day.,تلفزيون,يشاهد التلفاز كل يوم.
pretty,A1,That flower is pretty.,جميل,تلك الزهرة جميلة.
everybody,A1,Everybody clapped their hands.,الجميع,وصفق الجميع بأيديهم.
feeling,A1,I have a good feeling.,إحساس,لدي شعور جيد.
message,A1,Leave a message after the beep.,رسالة,اترك رسالة بعد سماع الصافرة.
arrive,A1,They arrive at noon.,يصل,يصلون عند الظهر.
section,A1,Read the first section.,قسم,اقرأ القسم الأول.
skill,A1,He has a skill in drawing.,مهارة,لديه مهارة في الرسم .
sister,A1,My sister is older than me.,أخت,أختي أكبر مني.
stage,A1,They went on stage.,منصة,ذهبوا على خشبة المسرح.
Miss,A1,Miss Smith is our teacher.,الآنسة,الآنسة سميث هي معلمتنا.
design,A1,I design cards for fun.,تصميم,أقوم بتصميم بطاقات للمتعة.
ten,A1,Ten people came to the party.,عشرة,جاء عشرة أشخاص إلى الحفلة.
station,A1,Wait at the station.,محطة,انتظر في المحطة.
blue,A1,She wore a blue shirt.,أزرق,كانت ترتدي قميصا أزرق.
discuss,A1,Let’s discuss the plan.,يناقش,دعونا نناقش الخطة.
song,A1,That song is catchy.,أغنية,تلك الأغنية جذابة.
